Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,102.610001,105.370003,102.0,105.349998,102.612183,67649400
2016-01-05,105.75,105.849998,102.410004,102.709999,100.040792,55791000
2016-01-06,100.559998,102.370003,99.870003,100.699997,98.083025,68457400
2016-01-07,98.68,100.129997,96.43,96.449997,93.943473,81094400
2016-01-08,98.550003,99.110001,96.760002,96.959999,94.440222,70798000
2016-01-11,98.970001,99.059998,97.339996,98.529999,95.96942,49739400
2016-01-12,100.550003,100.690002,98.839996,99.959999,97.362258,49154200
2016-01-13,100.32,101.190002,97.300003,97.389999,94.859047,62439600
2016-01-14,97.959999,100.480003,95.739998,99.519997,96.93369,63170100
2016-01-15,96.199997,97.709999,95.360001,97.129997,94.605802,79010000
2016-01-19,98.410004,98.650002,95.5,96.660004,94.148022,53087700
2016-01-20,95.099998,98.190002,93.419998,96.790001,94.274641,72334400
2016-01-21,97.059998,97.879997,94.940002,96.300003,93.797377,52161500
2016-01-22,98.629997,101.459999,98.370003,101.419998,98.784315,65800500
2016-01-25,101.519997,101.529999,99.209999,99.440002,96.855775,51794500
2016-01-26,99.93,100.879997,98.07,99.989998,97.391477,75077000
2016-01-27,96.040001,96.629997,93.339996,93.419998,90.992218,133369700
2016-01-28,93.790001,94.519997,92.389999,94.089996,91.644804,55678800
2016-01-29,94.790001,97.339996,94.349998,97.339996,94.810344,64416500
2016-02-01,96.470001,96.709999,95.400002,96.43,93.923996,40943500
2016-02-02,95.419998,96.040001,94.279999,94.480003,92.024676,37357200
2016-02-03,95.0,96.839996,94.080002,96.349998,93.846074,45964300
2016-02-04,95.860001,97.330002,95.190002,96.599998,94.600127,46471700
2016-02-05,96.519997,96.919998,93.690002,94.019997,92.073538,46418100
2016-02-08,93.129997,95.699997,93.040001,95.010002,93.043048,54021400
2016-02-09,94.290001,95.940002,93.93,94.989998,93.023458,44331200
2016-02-10,95.919998,96.349998,94.099998,94.269997,92.318363,42343600
2016-02-11,93.790001,94.720001,92.589996,93.699997,91.760163,50074700
2016-02-12,94.190002,94.5,93.010002,93.989998,92.04416,40351400
2016-02-16,95.019997,96.849998,94.610001,96.639999,94.6393,49057900
2016-02-17,96.669998,98.209999,96.150002,98.120003,96.088664,44863200
2016-02-18,98.839996,98.889999,96.089996,96.260002,94.26717,39021000
2016-02-19,96.0,96.760002,95.800003,96.040001,94.051723,35374200
2016-02-22,96.309998,96.900002,95.919998,96.879997,94.874329,34280800
2016-02-23,96.400002,96.5,94.550003,94.690002,92.729673,31942600
2016-02-24,93.980003,96.379997,93.32,96.099998,94.110479,36255700
2016-02-25,96.050003,96.760002,95.25,96.760002,94.756818,27582700
2016-02-26,97.199997,98.019997,96.580002,96.910004,94.903715,28991100
2016-02-29,96.860001,98.230003,96.650002,96.690002,94.688268,35216300
2016-03-01,97.650002,100.769997,97.419998,100.529999,98.448766,50407100
2016-03-02,100.510002,100.889999,99.639999,100.75,98.664213,33169600
2016-03-03,100.580002,101.709999,100.449997,101.5,99.398686,36955700
