Date,Open,High,Low,Close,Adj Close,Volume
2017-02-17,61.779999,61.799999,60.84,61.560001,61.560001,346800
2017-02-16,62.529999,62.66,61.169998,61.790001,61.790001,391200
2017-02-15,61.93,62.619999,61.5,62.529999,62.529999,372500
2017-02-14,62.049999,62.849998,61.450001,61.939999,61.939999,215900
2017-02-13,62.5,62.939999,61.950001,62.240002,62.240002,303600
2017-02-10,62.27,62.98,61.48,61.990002,61.990002,260700
2017-02-09,61.57,62.540001,61.57,62.0,62.0,320000
2017-02-08,62.0,62.029999,60.889999,61.5,61.5,407900
2017-02-07,61.23,62.290001,61.189999,61.619999,61.619999,452700
2017-02-06,61.970001,62.5,60.59,61.189999,61.189999,632000
2017-02-03,61.369999,62.75,61.360001,61.700001,61.700001,446600
2017-02-02,59.580002,61.950001,58.869999,61.279999,61.279999,597000
2017-02-01,59.57,61.0,58.869999,59.799999,59.799999,639600
2017-01-31,63.5,63.75,56.07,58.84,58.84,1549600
2017-01-30,59.400002,59.82,58.02,59.610001,59.610001,772500
2017-01-27,59.029999,59.540001,58.639999,59.369999,59.369999,332700
2017-01-26,58.869999,59.139999,58.529999,58.759998,58.759998,200100
2017-01-25,58.580002,59.0,58.400002,58.790001,58.790001,338600
2017-01-24,56.849998,58.189999,56.689999,57.91,57.91,300300
2017-01-23,56.77,57.509998,56.540001,56.619999,56.619999,235300
2017-01-20,56.84,57.209999,56.549999,56.700001,56.700001,165300
2017-01-19,57.27,57.77,56.5,56.84,56.84,297100
2017-01-18,56.5,57.66,56.310001,56.900002,56.900002,311200
2017-01-17,57.32,57.490002,55.759998,56.110001,56.110001,355100
2017-01-13,57.560001,58.310001,57.470001,57.939999,57.939999,393800
2017-01-12,57.880001,57.880001,56.380001,57.389999,57.389999,279200
2017-01-11,56.540001,57.459999,56.080002,57.41,57.41,262100
2017-01-10,55.919998,56.599998,55.509998,56.310001,56.310001,233100
2017-01-09,55.889999,56.310001,55.459999,56.029999,56.029999,214600
2017-01-06,55.779999,56.049999,54.950001,55.619999,55.619999,239500
2017-01-05,57.68,57.98,55.68,55.939999,55.939999,259300
2017-01-04,54.68,56.209999,54.5,56.029999,56.029999,418200
2017-01-03,55.040001,55.650002,53.790001,54.799999,54.799999,280800
