Date,Open,High,Low,Close,Volume
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
18/01/2017,14.98,15.0,14.94,14.96,106500
